2/11/2017 13:20,"RUA VIOLETA SIMÕES AZEVEDO , 380 - GABRIELA",PX SUPERMERCADO É MAIS
2/11/2017 13:25,"AVENIDA SENHOR DOS PASSOS, 139 - CENTRO",Referência: PX FISK
2/11/2017 19:48,"AVENIDA SANTO ANTONIO , 306 - CAPUCHINHOS",PX SALÃO DE PAIXÃO
3/11/2017 08:30,"RUA CAPISTRANO, 70 - CONCEICAO",APOS A CRECHE TIO JONAS
3/11/2017 08:37,"RUA ITACURUCA, 30A - SANTO ANTONIO DOS PRAZERES",NA RUA DO SUPERMERCADO NOVA OPÇÃO
3/11/2017 09:50,"RUA FREI CANECA, 51 - CAMPO DO GADO",PROXIMO AO MASSA BEER; SENTIDO SHOPPING
3/11/2017 12:35,"RUA CRUZ E SOUZA, 29 - CENTRO",VIZINHO AO BAR E RESTAURANTE EUCLIDENCE
3/11/2017 17:15,"RUA SARANDI, 399 - CAMPO LIMPO",PX/ A OFICINA SINHO CHAPARIA
3/11/2017 17:21,"RUA CRUZ E SOUZA, 25 - CENTRO",PX ESCOLA JOÃO PAULO
4/11/2017 09:18,"RUA TABAPUA, 330 - TOMBA",PX A RUA LIBRA
4/11/2017 11:19,"RUA ANGRA DOS REIS, 57 - PONTO CENTRAL",PX A ACADEMIA SPACE PARK
6/11/2017 10:41,"RUA PARAGUAI, 244 - CASEB",PX A QUEIROZ
6/11/2017 10:40,"CAMINHO 19, 16 - CONJUNTO JOMAFA - BRASILIA",
6/11/2017 10:46,"RUA ARAPIRACA, SN - CAMPO LIMPO",PX AO CONDOMÍNIO JJ LOPES DE BRITO
6/11/2017 11:47,"RUA ALOMIRANTE BARROSO, SN - CAMPO DO GADO VELHO","PROX A HORTA, LOTEAMENTO PQ SERVILIA"
6/11/2017 11:52,"RUA ANTENOR MOREIRA PINHO, 379 - JARDIM ACACIA",PX COLÉGIO DISPENSÁRIO SANTANA
6/11/2017 11:57,"RUA ROCHA POMBO , 438 - CONCEIÇÃO II",PX CAPELA NOSSA SENHORA DE FATIMA
6/11/2017 12:09,"RUA ANGRA DOS REIS, 67 - PONTO CENTRAL",FUNDO DA SPACE PARQUE
